App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
ROBLOX,GAME,4.5,4447388,67,"100,000,000",Free,0,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
Subway Surfers,GAME,4.5,27722264,76,"1,000,000,000",Free,0,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
Candy Crush Saga,GAME,4.4,22426677,74,"500,000,000",Free,0,Everyone,Casual,5-Jul-18,1.129.0.2,4.1 and up
Solitaire,GAME,4.7,254258,23,"10,000,000",Free,0,Everyone,Card,1-Aug-18,2.137.0,4.1 and up
Bubble Shooter,GAME,4.5,148897,46,"10,000,000",Free,0,Everyone,Casual,17-Jul-18,1.20.1,4.0.3 and up
Hello Kitty Nail Salon,GAME,4.2,369203,24,"50,000,000",Free,0,Everyone,Casual;Pretend Play,17-Apr-18,1.5,4.1 and up
slither.io,GAME,4.4,5234162,,"100,000,000",Free,0,Everyone,Action,14-Nov-17,Varies with device,2.3 and up
Clash Royale,GAME,4.6,23133508,97,"100,000,000",Free,0,Everyone 10+,Strategy,27-Jun-18,2.3.2,4.1 and up
Temple Run 2,GAME,4.3,8118609,62,"500,000,000",Free,0,Everyone,Action,5-Jul-18,1.49.1,4.0 and up
Pou,GAME,4.3,10485308,24,"500,000,000",Free,0,Everyone,Casual,25-May-18,1.4.77,4.0 and up
Helix Jump,GAME,4.2,1497361,33,"100,000,000",Free,0,Everyone,Action,9-Apr-18,1.0.6,4.1 and up
Block Puzzle,GAME,4.6,59800,7.8,"5,000,000",Free,0,Everyone,Puzzle,6-Mar-18,2.9,2.3 and up
Angry Birds Rio,GAME,4.4,2610526,46,"100,000,000",Free,0,Everyone,Arcade,3-Jul-18,2.6.9,4.1 and up
Plants vs. Zombies FREE,GAME,4.4,4066989,69,"100,000,000",Free,0,Everyone 10+,Strategy,6-Jul-18,2.2.00,4.1 and up
Sonic Dash,GAME,4.5,3778921,75,"100,000,000",Free,0,Everyone,Arcade,26-Jul-18,3.8.5.Go,4.1 and up
Candy Crush Soda Saga,GAME,4.4,6198563,67,"100,000,000",Free,0,Everyone,Casual,10-Jul-18,1.118.4,4.1 and up
Zombie Hunter King,GAME,4.3,10306,50,"1,000,000",Free,0,Mature 17+,Action,1-Aug-18,1.0.8,2.3 and up
Clash of Clans,GAME,4.6,44891723,98,"100,000,000",Free,0,Everyone 10+,Strategy,15-Jul-18,10.322.16,4.1 and up
Kick the Buddy,GAME,4.3,1000417,,"50,000,000",Free,0,Teen,Action,5-Jul-18,Varies with device,4.4 and up
Block Puzzle Classic Legend !,GAME,4.2,17039,4.9,"5,000,000",Free,0,Everyone,Puzzle,13-Apr-18,2.9,2.3.3 and up
PAC-MAN,GAME,4.2,685981,37,"100,000,000",Free,0,Everyone,Arcade,15-May-18,6.6.3,4.1 and up
